ID,probability
TEST_00000,0.0008540615
TEST_00001,0.0008851902
TEST_00002,0.16647595
TEST_00003,0.11685566
TEST_00004,0.5964506
TEST_00005,0.12420163
TEST_00006,0.5002794
TEST_00007,0.3914336
TEST_00008,0.3497898
TEST_00009,0.0008527556
TEST_00010,0.057067063
TEST_00011,0.47845936
TEST_00012,0.39225653
TEST_00013,0.38529482
TEST_00014,0.3745248
TEST_00015,0.00085083314
TEST_00016,0.28122792
TEST_00017,0.3723798
TEST_00018,0.2102457
TEST_00019,0.59954274
TEST_00020,0.2755434
TEST_00021,0.38278097
TEST_00022,0.30682498
TEST_00023,0.2473929
TEST_00024,0.42406163
TEST_00025,0.0008540338
TEST_00026,0.13744354
TEST_00027,0.42121044
TEST_00028,0.18708378
TEST_00029,0.19300099
TEST_00030,0.4695197
TEST_00031,0.19016388
TEST_00032,0.14960805
TEST_00033,0.19031309
TEST_00034,0.41759333
TEST_00035,0.0009036284
TEST_00036,0.13085708
TEST_00037,0.36796668
TEST_00038,0.2209362
TEST_00039,0.0012569914
TEST_00040,0.1936542
TEST_00041,0.15443166
TEST_00042,0.32090846
TEST_00043,0.32461596
TEST_00044,0.3330337
TEST_00045,0.5513403
TEST_00046,0.5228871
TEST_00047,0.19575065
TEST_00048,0.15986247
TEST_00049,0.40337527
TEST_00050,0.23671499
TEST_00051,0.18878907
TEST_00052,0.14652333
TEST_00053,0.55769986
TEST_00054,0.00085080316
TEST_00055,0.42535734
TEST_00056,0.31587067
TEST_00057,0.22906618
TEST_00058,0.53441525
TEST_00059,0.19970849
TEST_00060,0.0011091194
TEST_00061,0.17986746
TEST_00062,0.3619117
TEST_00063,0.35508555
TEST_00064,0.17900412
TEST_00065,0.0008837247
TEST_00066,0.30746835
TEST_00067,0.2089689
TEST_00068,0.30488172
TEST_00069,0.5191746
TEST_00070,0.38538375
TEST_00071,0.35843077
TEST_00072,0.2401124
TEST_00073,0.29316396
TEST_00074,0.15210922
TEST_00075,0.22311291
TEST_00076,0.003914093
TEST_00077,0.00087390543
TEST_00078,0.14624587
TEST_00079,0.22654524
TEST_00080,0.32844293
TEST_00081,0.000855634
TEST_00082,0.24990788
TEST_00083,0.14473423
TEST_00084,0.4245895
TEST_00085,0.4246002
TEST_00086,0.00085316884
TEST_00087,0.41004243
TEST_00088,0.24803512
TEST_00089,0.4112231
TEST_00090,0.24334852
TEST_00091,0.11825755
TEST_00092,0.44529855
TEST_00093,0.5586343
TEST_00094,0.00085654075
TEST_00095,0.00085233356
TEST_00096,0.5134319
TEST_00097,0.21670303
TEST_00098,0.374419
TEST_00099,0.27627087
TEST_00100,0.114915684
TEST_00101,0.22747886
TEST_00102,0.40823478
TEST_00103,0.30987248
TEST_00104,0.40193683
TEST_00105,0.5001676
TEST_00106,0.26269174
TEST_00107,0.0012966779
TEST_00108,0.37278327
TEST_00109,0.0008778195
TEST_00110,0.44402316
TEST_00111,0.37209475
TEST_00112,0.005760503
TEST_00113,0.3797914
TEST_00114,0.22209354
TEST_00115,0.3588349
TEST_00116,0.0011334438
TEST_00117,0.47902197
TEST_00118,0.3717698
TEST_00119,0.18842517
TEST_00120,0.0008527824
TEST_00121,0.0009114627
TEST_00122,0.3367864
TEST_00123,0.46786797
TEST_00124,0.42775127
TEST_00125,0.26547495
TEST_00126,0.00094181165
TEST_00127,0.038630962
TEST_00128,0.28222406
TEST_00129,0.40136135
TEST_00130,0.23705418
TEST_00131,0.43414268
TEST_00132,0.0010338648
TEST_00133,0.30473143
TEST_00134,0.3976114
TEST_00135,0.0010783919
TEST_00136,0.20792732
TEST_00137,0.234906
TEST_00138,0.0722539
TEST_00139,0.27759263
TEST_00140,0.006788498
TEST_00141,0.0010055308
TEST_00142,0.3028819
TEST_00143,0.0008538081
TEST_00144,0.13179636
TEST_00145,0.5689013
TEST_00146,0.20205607
TEST_00147,0.24930954
TEST_00148,0.23372622
TEST_00149,0.3847849
TEST_00150,0.0009320009
TEST_00151,0.0008511113
TEST_00152,0.48478124
TEST_00153,0.34001157
TEST_00154,0.009567877
TEST_00155,0.25584462
TEST_00156,0.40513766
TEST_00157,0.41074064
TEST_00158,0.45262653
TEST_00159,0.3425116
TEST_00160,0.44750088
TEST_00161,0.56515014
TEST_00162,0.43038997
TEST_00163,0.0010504874
TEST_00164,0.548131
TEST_00165,0.19079866
TEST_00166,0.41606808
TEST_00167,0.2257066
TEST_00168,0.3986831
TEST_00169,0.2454009
TEST_00170,0.19431953
TEST_00171,0.23353316
TEST_00172,0.31376508
TEST_00173,0.30802995
TEST_00174,0.12997198
TEST_00175,0.29345208
TEST_00176,0.49513727
TEST_00177,0.22495756
TEST_00178,0.43316928
TEST_00179,0.3373542
TEST_00180,0.39006433
TEST_00181,0.44129547
TEST_00182,0.16287163
TEST_00183,0.5145036
TEST_00184,0.2137718
TEST_00185,0.2441401
TEST_00186,0.32770285
TEST_00187,0.27301845
TEST_00188,0.3820167
TEST_00189,0.32788256
TEST_00190,0.42689225
TEST_00191,0.22893636
TEST_00192,0.32230642
TEST_00193,0.04491491
TEST_00194,0.59386384
