ID,probability
TEST_00000,0.002286342
TEST_00001,0.0027203204
TEST_00002,0.15326118
TEST_00003,0.10091217
TEST_00004,0.51419586
TEST_00005,0.12239048
TEST_00006,0.463356
TEST_00007,0.35640126
TEST_00008,0.3039442
TEST_00009,0.0021665113
TEST_00010,0.0547123
TEST_00011,0.46555746
TEST_00012,0.37517834
TEST_00013,0.41914195
TEST_00014,0.30514228
TEST_00015,0.0025180373
TEST_00016,0.22559968
TEST_00017,0.3532217
TEST_00018,0.2123448
TEST_00019,0.62425745
TEST_00020,0.2545661
TEST_00021,0.39719075
TEST_00022,0.27048832
TEST_00023,0.21439436
TEST_00024,0.3990659
TEST_00025,0.0022159847
TEST_00026,0.11985517
TEST_00027,0.46761066
TEST_00028,0.1717234
TEST_00029,0.1754526
TEST_00030,0.43646556
TEST_00031,0.1816577
TEST_00032,0.15975146
TEST_00033,0.17493752
TEST_00034,0.40564978
TEST_00035,0.0024679652
TEST_00036,0.13514628
TEST_00037,0.31422377
TEST_00038,0.27140808
TEST_00039,0.0029322517
TEST_00040,0.19861539
TEST_00041,0.13963747
TEST_00042,0.30683386
TEST_00043,0.29521304
TEST_00044,0.32219052
TEST_00045,0.48313627
TEST_00046,0.47946727
TEST_00047,0.23667066
TEST_00048,0.13930447
TEST_00049,0.39753982
TEST_00050,0.25735813
TEST_00051,0.16597533
TEST_00052,0.14643376
TEST_00053,0.5548951
TEST_00054,0.0025408827
TEST_00055,0.40767205
TEST_00056,0.31704417
TEST_00057,0.21460378
TEST_00058,0.5181087
TEST_00059,0.19241282
TEST_00060,0.003176259
TEST_00061,0.17034627
TEST_00062,0.34126937
TEST_00063,0.332849
TEST_00064,0.22045983
TEST_00065,0.0026050666
TEST_00066,0.2699535
TEST_00067,0.2041615
TEST_00068,0.28726763
TEST_00069,0.47480974
TEST_00070,0.389095
TEST_00071,0.36213878
TEST_00072,0.21840115
TEST_00073,0.2619539
TEST_00074,0.13603178
TEST_00075,0.24001482
TEST_00076,0.040673044
TEST_00077,0.0026508286
TEST_00078,0.12270959
TEST_00079,0.20258312
TEST_00080,0.34862322
TEST_00081,0.0021884618
TEST_00082,0.21764547
TEST_00083,0.16252586
TEST_00084,0.42971116
TEST_00085,0.3818508
TEST_00086,0.0021611485
TEST_00087,0.3946592
TEST_00088,0.12621823
TEST_00089,0.38582188
TEST_00090,0.24072866
TEST_00091,0.098947965
TEST_00092,0.36000445
TEST_00093,0.5468971
TEST_00094,0.0020512023
TEST_00095,0.0021716314
TEST_00096,0.4587677
TEST_00097,0.10531497
TEST_00098,0.38605738
TEST_00099,0.27342638
TEST_00100,0.106907226
TEST_00101,0.19235395
TEST_00102,0.37667188
TEST_00103,0.29363102
TEST_00104,0.35145995
TEST_00105,0.4828186
TEST_00106,0.2667442
TEST_00107,0.0023425026
TEST_00108,0.33201522
TEST_00109,0.0022817825
TEST_00110,0.41029453
TEST_00111,0.410542
TEST_00112,0.029614653
TEST_00113,0.3764072
TEST_00114,0.20814888
TEST_00115,0.41299722
TEST_00116,0.0028440887
TEST_00117,0.4559378
TEST_00118,0.33517122
TEST_00119,0.16571696
TEST_00120,0.0026164649
TEST_00121,0.0023361582
TEST_00122,0.31928894
TEST_00123,0.49627572
TEST_00124,0.40708506
TEST_00125,0.26101866
TEST_00126,0.003401665
TEST_00127,0.059085768
TEST_00128,0.27771348
TEST_00129,0.3944059
TEST_00130,0.22573377
TEST_00131,0.40201858
TEST_00132,0.002232386
TEST_00133,0.2656379
TEST_00134,0.371469
TEST_00135,0.002437594
TEST_00136,0.1952046
TEST_00137,0.24936575
TEST_00138,0.07866498
TEST_00139,0.25958169
TEST_00140,0.027250376
TEST_00141,0.0024497397
TEST_00142,0.29924297
TEST_00143,0.0023994516
TEST_00144,0.15043594
TEST_00145,0.508441
TEST_00146,0.16493303
TEST_00147,0.22097181
TEST_00148,0.24158776
TEST_00149,0.4068397
TEST_00150,0.0024463919
TEST_00151,0.0021165623
TEST_00152,0.41636032
TEST_00153,0.29373345
TEST_00154,0.032817047
TEST_00155,0.23238939
TEST_00156,0.34004378
TEST_00157,0.37035495
TEST_00158,0.42301214
TEST_00159,0.3300936
TEST_00160,0.40873456
TEST_00161,0.50046736
TEST_00162,0.32028797
TEST_00163,0.0026084187
TEST_00164,0.5400525
TEST_00165,0.21732208
TEST_00166,0.3540045
TEST_00167,0.20228186
TEST_00168,0.37400728
TEST_00169,0.2054379
