ID,probability
TEST_00000,0.002214093
TEST_00001,0.002227102
TEST_00002,0.112121195
TEST_00003,0.118687026
TEST_00004,0.49635178
TEST_00005,0.1815447
TEST_00006,0.45901448
TEST_00007,0.33827478
TEST_00008,0.19332823
TEST_00009,0.00090880477
TEST_00010,0.054762136
TEST_00011,0.4109126
TEST_00012,0.3667371
TEST_00013,0.36453235
TEST_00014,0.36944887
TEST_00015,0.0015808211
TEST_00016,0.22452684
TEST_00017,0.43977916
TEST_00018,0.20823929
TEST_00019,0.6830244
TEST_00020,0.27928668
TEST_00021,0.4579961
TEST_00022,0.24701385
TEST_00023,0.2052659
TEST_00024,0.39294687
TEST_00025,0.001492551
TEST_00026,0.12695079
TEST_00027,0.47458807
TEST_00028,0.1871121
TEST_00029,0.18535781
TEST_00030,0.4444427
TEST_00031,0.20058186
TEST_00032,0.15714984
TEST_00033,0.20738195
TEST_00034,0.46329376
TEST_00035,0.0011705434
TEST_00036,0.095137194
TEST_00037,0.33731383
TEST_00038,0.18327287
TEST_00039,0.002883367
TEST_00040,0.190473
TEST_00041,0.16716264
TEST_00042,0.3150067
TEST_00043,0.3229711
TEST_00044,0.30761203
TEST_00045,0.62816685
TEST_00046,0.5930665
TEST_00047,0.27719036
TEST_00048,0.0817194
TEST_00049,0.40087882
TEST_00050,0.23375061
TEST_00051,0.42424884
TEST_00052,0.14218721
TEST_00053,0.650961
TEST_00054,0.0017226558
TEST_00055,0.402414
TEST_00056,0.31515062
TEST_00057,0.1888885
TEST_00058,0.54372346
TEST_00059,0.12085487
TEST_00060,0.0089214295
TEST_00061,0.15786628
TEST_00062,0.24833235
TEST_00063,0.31317174
TEST_00064,0.18548167
TEST_00065,0.0035547698
TEST_00066,0.26126564
TEST_00067,0.17575523
TEST_00068,0.30332702
TEST_00069,0.5176431
TEST_00070,0.41508538
TEST_00071,0.31138468
TEST_00072,0.18634781
TEST_00073,0.24523191
TEST_00074,0.16513641
TEST_00075,0.2978245
TEST_00076,0.018987093
TEST_00077,0.0013521281
TEST_00078,0.14287229
TEST_00079,0.20362197
TEST_00080,0.3826107
TEST_00081,0.000849274
TEST_00082,0.19063641
TEST_00083,0.2489742
TEST_00084,0.47549453
TEST_00085,0.41904202
TEST_00086,0.0007428054
TEST_00087,0.4108845
TEST_00088,0.10387695
TEST_00089,0.37624392
TEST_00090,0.3164048
TEST_00091,0.07701417
TEST_00092,0.2372993
TEST_00093,0.53434753
TEST_00094,0.00065818726
TEST_00095,0.0013747691
TEST_00096,0.44954208
TEST_00097,0.120854504
TEST_00098,0.41343182
TEST_00099,0.33008245
TEST_00100,0.051326305
TEST_00101,0.28892535
TEST_00102,0.30864662
TEST_00103,0.3329306
TEST_00104,0.3437475
TEST_00105,0.5185356
TEST_00106,0.27573264
TEST_00107,0.0021543878
TEST_00108,0.32276666
TEST_00109,0.001483413
TEST_00110,0.45450634
TEST_00111,0.34323165
TEST_00112,0.017904628
TEST_00113,0.3450292
TEST_00114,0.18761656
TEST_00115,0.43962437
TEST_00116,0.0035504503
TEST_00117,0.4561527
TEST_00118,0.33610806
TEST_00119,0.14116201
TEST_00120,0.0018531105
TEST_00121,0.0010660599
TEST_00122,0.2556309
TEST_00123,0.6073123
TEST_00124,0.47022158
TEST_00125,0.2899395
TEST_00126,0.00772711
TEST_00127,0.05552729
TEST_00128,0.28592703
TEST_00129,0.51246727
TEST_00130,0.16824268
TEST_00131,0.45867
TEST_00132,0.000982233
TEST_00133,0.2855486
TEST_00134,0.44171083
TEST_00135,0.0010250917
TEST_00136,0.16638489
TEST_00137,0.1264686
TEST_00138,0.06941022
TEST_00139,0.21371013
TEST_00140,0.017068662
TEST_00141,0.001375536
TEST_00142,0.36779204
TEST_00143,0.0021493267
TEST_00144,0.10629695
TEST_00145,0.48655844
TEST_00146,0.16725826
TEST_00147,0.27316865
TEST_00148,0.29556066
TEST_00149,0.40695456
TEST_00150,0.0015176812
TEST_00151,0.0010775385
TEST_00152,0.2859381
TEST_00153,0.27601692
TEST_00154,0.025923302
TEST_00155,0.3051123
TEST_00156,0.40599653
