ID,probability
TEST_00000,0.0024133045
TEST_00001,0.0018976633
TEST_00002,0.1232026
TEST_00003,0.119016476
TEST_00004,0.45800114
TEST_00005,0.18877071
TEST_00006,0.4654289
TEST_00007,0.28209847
TEST_00008,0.2050813
TEST_00009,0.0009754894
TEST_00010,0.05333086
TEST_00011,0.42609975
TEST_00012,0.32548767
TEST_00013,0.3897421
TEST_00014,0.3468508
TEST_00015,0.0013217895
TEST_00016,0.21841589
TEST_00017,0.43411502
TEST_00018,0.2144995
TEST_00019,0.7081678
TEST_00020,0.27609354
TEST_00021,0.45581257
TEST_00022,0.26856285
TEST_00023,0.20218366
TEST_00024,0.39057285
TEST_00025,0.0012787379
TEST_00026,0.124750994
TEST_00027,0.46898535
TEST_00028,0.19312897
TEST_00029,0.18822981
TEST_00030,0.4471908
TEST_00031,0.1845314
TEST_00032,0.15542987
TEST_00033,0.21785426
TEST_00034,0.46170676
TEST_00035,0.0009900886
TEST_00036,0.09903139
TEST_00037,0.3395899
TEST_00038,0.2022451
TEST_00039,0.0030116788
TEST_00040,0.20195615
TEST_00041,0.14746955
TEST_00042,0.31488913
TEST_00043,0.33951467
TEST_00044,0.30059996
TEST_00045,0.6201484
TEST_00046,0.5731487
TEST_00047,0.2893284
TEST_00048,0.09790266
TEST_00049,0.397938
TEST_00050,0.22919086
TEST_00051,0.38655323
TEST_00052,0.08603191
TEST_00053,0.6475464
TEST_00054,0.00204101
TEST_00055,0.41201308
TEST_00056,0.32141978
TEST_00057,0.1910162
TEST_00058,0.55893284
TEST_00059,0.12602219
TEST_00060,0.008441303
TEST_00061,0.16977023
TEST_00062,0.22766705
TEST_00063,0.317816
TEST_00064,0.1892883
TEST_00065,0.0050760405
TEST_00066,0.26419184
TEST_00067,0.16971488
TEST_00068,0.30474365
TEST_00069,0.50948316
TEST_00070,0.41141996
TEST_00071,0.35371134
TEST_00072,0.19125591
TEST_00073,0.25753394
TEST_00074,0.1557428
TEST_00075,0.28368652
TEST_00076,0.015603746
TEST_00077,0.0014893997
TEST_00078,0.14546995
TEST_00079,0.18935117
TEST_00080,0.3673443
TEST_00081,0.00075728574
TEST_00082,0.20345892
TEST_00083,0.21849644
TEST_00084,0.4824708
TEST_00085,0.4046789
TEST_00086,0.0007180575
TEST_00087,0.42220622
TEST_00088,0.102065675
TEST_00089,0.38508692
TEST_00090,0.3292854
TEST_00091,0.081486546
TEST_00092,0.25036648
TEST_00093,0.4902213
TEST_00094,0.0006380186
TEST_00095,0.0012334395
TEST_00096,0.49212083
TEST_00097,0.111661874
TEST_00098,0.41741464
TEST_00099,0.33577138
TEST_00100,0.0586656
TEST_00101,0.25829166
TEST_00102,0.31435794
TEST_00103,0.31117707
TEST_00104,0.3483462
TEST_00105,0.5182552
TEST_00106,0.29584208
TEST_00107,0.0020252976
TEST_00108,0.32505265
TEST_00109,0.0012801198
TEST_00110,0.46544608
TEST_00111,0.35095835
TEST_00112,0.015935102
TEST_00113,0.3516956
TEST_00114,0.17371146
TEST_00115,0.47945955
TEST_00116,0.0038381582
TEST_00117,0.4502475
TEST_00118,0.33749813
TEST_00119,0.16222847
TEST_00120,0.0016691929
TEST_00121,0.001150899
TEST_00122,0.24917263
TEST_00123,0.591752
TEST_00124,0.4165239
TEST_00125,0.29370204
TEST_00126,0.0075090956
TEST_00127,0.047508795
TEST_00128,0.29390422
TEST_00129,0.4900662
TEST_00130,0.17384833
TEST_00131,0.45963302
TEST_00132,0.0009763132
TEST_00133,0.28510222
TEST_00134,0.4456203
TEST_00135,0.0009935233
TEST_00136,0.17527702
TEST_00137,0.12862317
TEST_00138,0.07319059
TEST_00139,0.21252896
TEST_00140,0.01712115
TEST_00141,0.0015212789
TEST_00142,0.37455183
TEST_00143,0.0018680717
TEST_00144,0.11924016
TEST_00145,0.47609505
TEST_00146,0.18068859
TEST_00147,0.27605778
TEST_00148,0.28883034
TEST_00149,0.371073
TEST_00150,0.0014818672
TEST_00151,0.0010650682
TEST_00152,0.3250237
TEST_00153,0.2788167
TEST_00154,0.02803493
TEST_00155,0.2957862
TEST_00156,0.45541334
TEST_00157,0.34077764
TEST_00158,0.45793334
TEST_00159,0.40104783
TEST_00160,0.6200851
TEST_00161,0.5337347
TEST_00162,0.3027527
TEST_00163,0.003085968
TEST_00164,0.5837583
TEST_00165,0.23874865
TEST_00166,0.366874
TEST_00167,0.21963008
TEST_00168,0.40198752
TEST_00169,0.23160237
TEST_00170,0.25615153
TEST_00171,0.2686389
TEST_00172,0.22145824
TEST_00173,0.24302845
TEST_00174,0.13417634
TEST_00175,0.30447522
TEST_00176,0.45285413
TEST_00177,0.17328249
TEST_00178,0.34794763
TEST_00179,0.35871804
TEST_00180,0.5352252
TEST_00181,0.46983483
TEST_00182,0.20264046
TEST_00183,0.61591345
TEST_00184,0.13287956
TEST_00185,0.2039165
TEST_00186,0.4465849
TEST_00187,0.27236292
TEST_00188,0.27234313
TEST_00189,0.26449206
TEST_00190,0.4688702
TEST_00191,0.23042719
TEST_00192,0.28811896
TEST_00193,0.06070741
TEST_00194,0.73297584
TEST_00195,0.45164478
TEST_00196,0.45970145
TEST_00197,0.28907672
TEST_00198,0.21183962
TEST_00199,0.3083925
TEST_00200,0.5076183
TEST_00201,0.5319011
TEST_00202,0.289392
TEST_00203,0.28432283
TEST_00204,0.0008510655
TEST_00205,0.076197386
TEST_00206,0.0020464824
TEST_00207,0.36966038
TEST_00208,0.21925695
TEST_00209,0.3069884
TEST_00210,0.41149738
TEST_00211,0.13050646
TEST_00212,0.12367605
TEST_00213,0.26190388
TEST_00214,0.32592642
TEST_00215,0.25391886
TEST_00216,0.3282046
TEST_00217,0.28883472
TEST_00218,0.5423252
TEST_00219,0.20785436
TEST_00220,0.62733376
TEST_00221,0.4067952
TEST_00222,0.19371572
TEST_00223,0.32911378
TEST_00224,0.12713678
TEST_00225,0.31791994
TEST_00226,0.22103319
TEST_00227,0.28624895
TEST_00228,0.0015956433
TEST_00229,0.39229456
TEST_00230,0.31667563
TEST_00231,0.47351575
TEST_00232,0.16185343
TEST_00233,0.3028193
TEST_00234,0.3747227
TEST_00235,0.50102407
TEST_00236,0.32797045
TEST_00237,0.0017079008
TEST_00238,0.0012986877
TEST_00239,0.43835038
TEST_00240,0.34058788
