ID,probability
TEST_00000,0.0018966926
TEST_00001,0.0022025711
TEST_00002,0.15517832
TEST_00003,0.100443155
TEST_00004,0.51578957
TEST_00005,0.124541245
TEST_00006,0.45954046
TEST_00007,0.3595126
TEST_00008,0.2879424
TEST_00009,0.0018424874
TEST_00010,0.05343085
TEST_00011,0.4626369
TEST_00012,0.3749706
TEST_00013,0.41134885
TEST_00014,0.30418733
TEST_00015,0.0020349815
TEST_00016,0.2235043
TEST_00017,0.35085678
TEST_00018,0.20809066
TEST_00019,0.64918196
TEST_00020,0.25506422
TEST_00021,0.402037
TEST_00022,0.27104327
TEST_00023,0.21068795
TEST_00024,0.401123
TEST_00025,0.001902302
TEST_00026,0.11863416
TEST_00027,0.46880817
TEST_00028,0.17533161
TEST_00029,0.18022141
TEST_00030,0.43279958
TEST_00031,0.17296353
TEST_00032,0.1587883
TEST_00033,0.18028058
TEST_00034,0.41007224
TEST_00035,0.002041657
TEST_00036,0.12714987
TEST_00037,0.31009698
TEST_00038,0.25481078
TEST_00039,0.002398647
TEST_00040,0.20750739
TEST_00041,0.13808861
TEST_00042,0.30617544
TEST_00043,0.29640055
TEST_00044,0.3259633
TEST_00045,0.48515493
TEST_00046,0.48806334
TEST_00047,0.23876818
TEST_00048,0.13527873
TEST_00049,0.4052761
TEST_00050,0.2585266
TEST_00051,0.17020003
TEST_00052,0.14473207
TEST_00053,0.5527869
TEST_00054,0.0020891759
TEST_00055,0.4171325
TEST_00056,0.31635082
TEST_00057,0.21521065
TEST_00058,0.51334333
TEST_00059,0.18751456
TEST_00060,0.0024896434
TEST_00061,0.16833244
TEST_00062,0.33495528
TEST_00063,0.33311
TEST_00064,0.21559444
TEST_00065,0.0021917473
TEST_00066,0.26848182
TEST_00067,0.1984275
TEST_00068,0.28749293
TEST_00069,0.4743139
TEST_00070,0.3839244
TEST_00071,0.36140364
TEST_00072,0.21707967
TEST_00073,0.26612043
TEST_00074,0.13566063
TEST_00075,0.25005156
TEST_00076,0.03295908
TEST_00077,0.0021983176
TEST_00078,0.11830689
TEST_00079,0.2042196
TEST_00080,0.3498653
TEST_00081,0.0018352537
TEST_00082,0.21060304
TEST_00083,0.17063549
TEST_00084,0.4385625
TEST_00085,0.3946514
TEST_00086,0.00182797
TEST_00087,0.38696405
TEST_00088,0.12817258
TEST_00089,0.38304883
TEST_00090,0.24566372
TEST_00091,0.098078184
TEST_00092,0.34661797
TEST_00093,0.54668117
TEST_00094,0.0017699972
TEST_00095,0.0018615546
TEST_00096,0.45980173
TEST_00097,0.103695765
TEST_00098,0.3795804
TEST_00099,0.2733883
TEST_00100,0.10491467
TEST_00101,0.19519208
TEST_00102,0.38540465
TEST_00103,0.28584173
TEST_00104,0.35733372
TEST_00105,0.48574117
TEST_00106,0.26644957
TEST_00107,0.001979859
TEST_00108,0.33425853
TEST_00109,0.0019477255
TEST_00110,0.41592532
TEST_00111,0.4068939
TEST_00112,0.02551431
TEST_00113,0.37400916
TEST_00114,0.19829538
TEST_00115,0.4105954
TEST_00116,0.0021309077
TEST_00117,0.4567728
TEST_00118,0.33788463
TEST_00119,0.15834595
TEST_00120,0.0022039318
TEST_00121,0.0019984143
TEST_00122,0.31753626
TEST_00123,0.49965322
TEST_00124,0.41119963
TEST_00125,0.2702337
TEST_00126,0.0027060786
TEST_00127,0.058051925
TEST_00128,0.27326465
TEST_00129,0.39671662
TEST_00130,0.22249764
TEST_00131,0.3996373
TEST_00132,0.001938847
TEST_00133,0.26252884
TEST_00134,0.36999214
TEST_00135,0.0020489867
TEST_00136,0.19009528
TEST_00137,0.24900347
TEST_00138,0.07686237
TEST_00139,0.26041073
TEST_00140,0.023470504
TEST_00141,0.002089303
TEST_00142,0.30015582
TEST_00143,0.0020068914
TEST_00144,0.15170057
TEST_00145,0.50053716
TEST_00146,0.16395564
TEST_00147,0.2232442
TEST_00148,0.24830826
TEST_00149,0.42128378
TEST_00150,0.0021162492
TEST_00151,0.0017887692
TEST_00152,0.4102228
TEST_00153,0.29454505
TEST_00154,0.030528931
TEST_00155,0.23496032
TEST_00156,0.34556836
TEST_00157,0.3562336
TEST_00158,0.43451837
TEST_00159,0.32819033
TEST_00160,0.41664216
TEST_00161,0.49952587
TEST_00162,0.3220067
TEST_00163,0.0021650202
TEST_00164,0.54228425
TEST_00165,0.21875693
TEST_00166,0.36278728
TEST_00167,0.20491606
TEST_00168,0.3693147
TEST_00169,0.20386013
TEST_00170,0.20091154
TEST_00171,0.2325528
TEST_00172,0.25468498
TEST_00173,0.25967586
TEST_00174,0.13007376
TEST_00175,0.27807954
TEST_00176,0.4218621
TEST_00177,0.19471432
TEST_00178,0.34434694
TEST_00179,0.33491766
TEST_00180,0.36341223
TEST_00181,0.4610033
TEST_00182,0.16821921
TEST_00183,0.5466866
TEST_00184,0.117210284
TEST_00185,0.19853784
TEST_00186,0.33622962
TEST_00187,0.25768614
TEST_00188,0.3255051
TEST_00189,0.27342904
TEST_00190,0.46545413
TEST_00191,0.21572258
TEST_00192,0.28880867
TEST_00193,0.053359285
TEST_00194,0.6413109
TEST_00195,0.37447858
TEST_00196,0.43387595
TEST_00197,0.26053646
TEST_00198,0.28294405
TEST_00199,0.33167645
TEST_00200,0.38604724
TEST_00201,0.46689555
TEST_00202,0.27146438
TEST_00203,0.3072343
TEST_00204,0.001885951
TEST_00205,0.08416805
TEST_00206,0.0019264615
TEST_00207,0.28789967
TEST_00208,0.22201525
TEST_00209,0.28803554
TEST_00210,0.43840802
TEST_00211,0.1393725
TEST_00212,0.17832781
TEST_00213,0.08961407
TEST_00214,0.34516567
TEST_00215,0.27318963
TEST_00216,0.34709394
TEST_00217,0.26740363
TEST_00218,0.5377634
TEST_00219,0.20411699
TEST_00220,0.5836159
TEST_00221,0.41588953
TEST_00222,0.10808514
TEST_00223,0.2708251
TEST_00224,0.115681835
TEST_00225,0.318353
TEST_00226,0.2074116
TEST_00227,0.3215106
TEST_00228,0.002071976
TEST_00229,0.31364578
TEST_00230,0.29407254
TEST_00231,0.3851299
TEST_00232,0.21418731
TEST_00233,0.32751912
TEST_00234,0.36991343
TEST_00235,0.5162169
TEST_00236,0.31602085
TEST_00237,0.0019227316
TEST_00238,0.0020452403
TEST_00239,0.41784555
TEST_00240,0.29008856
TEST_00241,0.38869345
TEST_00242,0.30137134
TEST_00243,0.20290074
TEST_00244,0.0019320347
TEST_00245,0.53017986
TEST_00246,0.36804482
TEST_00247,0.10718001
TEST_00248,0.36490098
TEST_00249,0.4802465
TEST_00250,0.20592329
TEST_00251,0.0018995021
TEST_00252,0.41780373
TEST_00253,0.023068482
TEST_00254,0.37032956
TEST_00255,0.54780114
TEST_00256,0.3346982
TEST_00257,0.3713355
TEST_00258,0.40270448
TEST_00259,0.52052027
TEST_00260,0.0019335314
TEST_00261,0.0018796498
TEST_00262,0.002172119
TEST_00263,0.49744377
TEST_00264,0.2112931
TEST_00265,0.32584494
TEST_00266,0.17618562
TEST_00267,0.0020019237
TEST_00268,0.19864109
TEST_00269,0.33882344
TEST_00270,0.1746951
TEST_00271,0.002040341
TEST_00272,0.2650976
TEST_00273,0.23861715
TEST_00274,0.2635283
TEST_00275,0.048786476
TEST_00276,0.0019790442
TEST_00277,0.25011417
TEST_00278,0.36793706
TEST_00279,0.499364
TEST_00280,0.0022085905
TEST_00281,0.13537544
TEST_00282,0.0024099504
TEST_00283,0.0020329615
TEST_00284,0.39042005
TEST_00285,0.25213975
TEST_00286,0.06364743
TEST_00287,0.5110422
TEST_00288,0.0024215875
TEST_00289,0.38436535
TEST_00290,0.14397992
TEST_00291,0.30478993
TEST_00292,0.42350814
TEST_00293,0.0018925195
TEST_00294,0.51806
TEST_00295,0.31409043
TEST_00296,0.041994695
TEST_00297,0.0021418813
TEST_00298,0.5309376
TEST_00299,0.34999624
TEST_00300,0.1579168
TEST_00301,0.47395286
TEST_00302,0.28216735
TEST_00303,0.40007642
TEST_00304,0.5555396
TEST_00305,0.46190202
TEST_00306,0.21990973
TEST_00307,0.507953
TEST_00308,0.42282304
TEST_00309,0.471151
TEST_00310,0.40503356
TEST_00311,0.4575714
TEST_00312,0.13259612
TEST_00313,0.15898532
TEST_00314,0.47874296
TEST_00315,0.31521526
TEST_00316,0.061191816
TEST_00317,0.10528478
TEST_00318,0.0019066738
TEST_00319,0.0021843964
TEST_00320,0.43740913
TEST_00321,0.22272544
TEST_00322,0.17881618
TEST_00323,0.22969203
TEST_00324,0.3054623
TEST_00325,0.0017877572
TEST_00326,0.29574957
TEST_00327,0.2876928
TEST_00328,0.13641153
TEST_00329,0.32458687
TEST_00330,0.3537907
TEST_00331,0.0014674657
TEST_00332,0.41905946
TEST_00333,0.39389852
TEST_00334,0.4612011
TEST_00335,0.3246277
TEST_00336,0.0018418779
TEST_00337,0.21355014
TEST_00338,0.3218933
TEST_00339,0.3054225
TEST_00340,0.32452357
TEST_00341,0.2719889
TEST_00342,0.1494757
TEST_00343,0.0423181
TEST_00344,0.19326848
TEST_00345,0.038071293
TEST_00346,0.29973283
TEST_00347,0.2571537
TEST_00348,0.39594376
TEST_00349,0.31586644
TEST_00350,0.265568
TEST_00351,0.3784829
TEST_00352,0.0026436585
TEST_00353,0.001947098
TEST_00354,0.20097977
TEST_00355,0.38189548
TEST_00356,0.16181093
TEST_00357,0.0018505026
TEST_00358,0.0022474364
TEST_00359,0.48398456
TEST_00360,0.3719469
TEST_00361,0.23215911
TEST_00362,0.38642925
TEST_00363,0.0020231977
TEST_00364,0.30746302
TEST_00365,0.22664303
TEST_00366,0.3068657
TEST_00367,0.22436148
TEST_00368,0.3075084
TEST_00369,0.07142995
TEST_00370,0.0019014475
TEST_00371,0.09819971
TEST_00372,0.27318096
TEST_00373,0.44253573
TEST_00374,0.35882488
TEST_00375,0.0021447837
TEST_00376,0.001765619
TEST_00377,0.28009045
TEST_00378,0.3474601
TEST_00379,0.16001174
TEST_00380,0.0021615783
TEST_00381,0.43761107
TEST_00382,0.46348143
TEST_00383,0.09325354
TEST_00384,0.39407048
TEST_00385,0.1773433
TEST_00386,0.49523154
TEST_00387,0.2770947
TEST_00388,0.27189407
TEST_00389,0.24554124
TEST_00390,0.44899753
TEST_00391,0.49100924
TEST_00392,0.32340312
TEST_00393,0.32135677
TEST_00394,0.10601039
TEST_00395,0.4974811
TEST_00396,0.35208365
TEST_00397,0.0019203657
TEST_00398,0.15220463
TEST_00399,0.0018845435
TEST_00400,0.33240393
TEST_00401,0.002009266
TEST_00402,0.11304982
TEST_00403,0.030326175
TEST_00404,0.4318755
TEST_00405,0.4850283
TEST_00406,0.09779657
TEST_00407,0.26896095
TEST_00408,0.28810203
TEST_00409,0.118701465
TEST_00410,0.048627455
TEST_00411,0.19527723
TEST_00412,0.12835658
TEST_00413,0.42759398
TEST_00414,0.33020437
TEST_00415,0.23192562
TEST_00416,0.4286762
TEST_00417,0.4819209
TEST_00418,0.47528666
TEST_00419,0.09556781
TEST_00420,0.08823705
TEST_00421,0.35253125
TEST_00422,0.49014246
TEST_00423,0.0020369145
TEST_00424,0.19788834
TEST_00425,0.1914756
TEST_00426,0.29521826
TEST_00427,0.36047977
TEST_00428,0.26071644
TEST_00429,0.19478849
TEST_00430,0.42321345
TEST_00431,0.4176071
TEST_00432,0.23593615
TEST_00433,0.002242853
TEST_00434,0.44662163
TEST_00435,0.30171254
TEST_00436,0.0018978656
TEST_00437,0.27055693
TEST_00438,0.0018770661
TEST_00439,0.002312962
TEST_00440,0.4577373
TEST_00441,0.5065337
TEST_00442,0.40015715
TEST_00443,0.37113702
TEST_00444,0.002203066
TEST_00445,0.3117259
TEST_00446,0.08572299
TEST_00447,0.43790656
TEST_00448,0.35942295
TEST_00449,0.0022409256
TEST_00450,0.43021184
TEST_00451,0.0014641003
TEST_00452,0.3557142
TEST_00453,0.46832764
TEST_00454,0.2742956
TEST_00455,0.23463956
TEST_00456,0.0020900718
TEST_00457,0.34826702
TEST_00458,0.12601309
TEST_00459,0.32071522
TEST_00460,0.0022846307
TEST_00461,0.4294127
TEST_00462,0.31536776
TEST_00463,0.17094119
TEST_00464,0.32811484
TEST_00465,0.2920616
TEST_00466,0.2614133
TEST_00467,0.37905505
TEST_00468,0.5405098
TEST_00469,0.002013585
TEST_00470,0.31451064
TEST_00471,0.4243334
TEST_00472,0.48619115
TEST_00473,0.28816253
TEST_00474,0.5236912
TEST_00475,0.3260055
TEST_00476,0.0018837749
TEST_00477,0.45248848
TEST_00478,0.20559257
TEST_00479,0.23741487
TEST_00480,0.4517684
