ID,probability
TEST_00000,0.0021286479
TEST_00001,0.0023882317
TEST_00002,0.15572965
TEST_00003,0.09944826
TEST_00004,0.51212394
TEST_00005,0.12043279
TEST_00006,0.4641025
TEST_00007,0.37256262
TEST_00008,0.2973169
TEST_00009,0.0019694038
TEST_00010,0.053868856
TEST_00011,0.4627494
TEST_00012,0.37618044
TEST_00013,0.4148672
TEST_00014,0.30113313
TEST_00015,0.0021779113
TEST_00016,0.23431225
TEST_00017,0.35854918
TEST_00018,0.20753315
TEST_00019,0.63778883
TEST_00020,0.25798172
TEST_00021,0.40093747
TEST_00022,0.27443057
TEST_00023,0.21139318
TEST_00024,0.40335804
TEST_00025,0.0019291331
TEST_00026,0.11945731
TEST_00027,0.47338894
TEST_00028,0.17294478
TEST_00029,0.17969546
TEST_00030,0.43835974
TEST_00031,0.17551467
TEST_00032,0.15940806
TEST_00033,0.17815548
TEST_00034,0.4181487
TEST_00035,0.002235347
TEST_00036,0.1324424
TEST_00037,0.31843033
TEST_00038,0.25599986
TEST_00039,0.0028255065
TEST_00040,0.19318119
TEST_00041,0.13452937
TEST_00042,0.30563802
TEST_00043,0.3009103
TEST_00044,0.32153097
TEST_00045,0.48909116
TEST_00046,0.49323967
TEST_00047,0.23462713
TEST_00048,0.13657129
TEST_00049,0.40673837
TEST_00050,0.25893825
TEST_00051,0.16136862
TEST_00052,0.1496593
TEST_00053,0.55055606
TEST_00054,0.0021808592
TEST_00055,0.41265976
TEST_00056,0.3165482
TEST_00057,0.21468213
TEST_00058,0.51036
TEST_00059,0.19075698
TEST_00060,0.0028195034
TEST_00061,0.17221276
TEST_00062,0.3421696
TEST_00063,0.33008048
TEST_00064,0.21903487
TEST_00065,0.002312174
TEST_00066,0.27178812
TEST_00067,0.20527692
TEST_00068,0.2884842
TEST_00069,0.47328445
TEST_00070,0.38431776
TEST_00071,0.3642275
TEST_00072,0.2178373
TEST_00073,0.26293337
TEST_00074,0.13278747
TEST_00075,0.24379669
TEST_00076,0.03710756
TEST_00077,0.0024154661
TEST_00078,0.12277454
TEST_00079,0.20297714
TEST_00080,0.355273
TEST_00081,0.0019359943
TEST_00082,0.21978399
TEST_00083,0.16716962
TEST_00084,0.44370863
TEST_00085,0.39384407
TEST_00086,0.0019390474
TEST_00087,0.3827605
TEST_00088,0.1242798
TEST_00089,0.38979244
TEST_00090,0.24545456
TEST_00091,0.09552468
TEST_00092,0.35464767
TEST_00093,0.5507391
TEST_00094,0.0019144408
TEST_00095,0.0018653977
TEST_00096,0.46081865
TEST_00097,0.102183685
TEST_00098,0.38083184
TEST_00099,0.27123964
TEST_00100,0.10881709
TEST_00101,0.19133475
TEST_00102,0.3786771
TEST_00103,0.28691724
TEST_00104,0.34887934
TEST_00105,0.48677868
TEST_00106,0.265255
TEST_00107,0.0021207046
TEST_00108,0.3313832
TEST_00109,0.0020120717
TEST_00110,0.41019905
TEST_00111,0.40776277
TEST_00112,0.02815767
TEST_00113,0.37233058
TEST_00114,0.20879671
TEST_00115,0.40939882
TEST_00116,0.00251988
TEST_00117,0.4563537
TEST_00118,0.33322626
TEST_00119,0.16637312
TEST_00120,0.0022900368
TEST_00121,0.0020610334
TEST_00122,0.32558548
TEST_00123,0.49858412
TEST_00124,0.41013134
TEST_00125,0.26300055
TEST_00126,0.0029979683
TEST_00127,0.061388258
TEST_00128,0.27661094
TEST_00129,0.39643562
TEST_00130,0.22673185
TEST_00131,0.40266043
TEST_00132,0.0019614515
TEST_00133,0.2664981
TEST_00134,0.36676314
TEST_00135,0.0021631564
TEST_00136,0.19446693
TEST_00137,0.25165698
TEST_00138,0.078699216
TEST_00139,0.2609244
TEST_00140,0.027362235
TEST_00141,0.0021759858
TEST_00142,0.3000692
TEST_00143,0.002137
TEST_00144,0.1449054
TEST_00145,0.5109978
TEST_00146,0.16472231
TEST_00147,0.2235868
TEST_00148,0.25054818
TEST_00149,0.4117607
TEST_00150,0.0021444825
TEST_00151,0.0019208356
TEST_00152,0.41151977
TEST_00153,0.2953706
TEST_00154,0.030919932
TEST_00155,0.23586944
TEST_00156,0.34423414
TEST_00157,0.37583658
TEST_00158,0.42211464
TEST_00159,0.32874683
TEST_00160,0.41302735
TEST_00161,0.49907202
TEST_00162,0.32529366
TEST_00163,0.002576903
TEST_00164,0.54228556
TEST_00165,0.21096513
TEST_00166,0.35292047
TEST_00167,0.20123087
TEST_00168,0.36787897
TEST_00169,0.20789805
TEST_00170,0.20392285
TEST_00171,0.2415674
TEST_00172,0.25669077
TEST_00173,0.26848605
TEST_00174,0.13089482
TEST_00175,0.2839638
TEST_00176,0.41271365
TEST_00177,0.20347917
TEST_00178,0.35782418
TEST_00179,0.33557788
TEST_00180,0.35908735
TEST_00181,0.45835155
TEST_00182,0.16710322
TEST_00183,0.5392338
TEST_00184,0.11770257
TEST_00185,0.20076314
TEST_00186,0.3362839
TEST_00187,0.2545384
TEST_00188,0.3245751
TEST_00189,0.284755
TEST_00190,0.46619353
TEST_00191,0.21607555
TEST_00192,0.29714325
TEST_00193,0.05483668
TEST_00194,0.6373896
TEST_00195,0.37742546
TEST_00196,0.43962726
TEST_00197,0.25996423
TEST_00198,0.29122216
TEST_00199,0.33548743
TEST_00200,0.38807452
TEST_00201,0.4718048
TEST_00202,0.26777232
TEST_00203,0.30447316
TEST_00204,0.001994205
TEST_00205,0.09775203
TEST_00206,0.0022030408
TEST_00207,0.2897682
TEST_00208,0.21438147
TEST_00209,0.29582292
TEST_00210,0.43739855
TEST_00211,0.13512956
TEST_00212,0.18197711
TEST_00213,0.086691774
TEST_00214,0.34727275
TEST_00215,0.27273896
TEST_00216,0.33966845
TEST_00217,0.26281828
TEST_00218,0.52102
TEST_00219,0.20210889
TEST_00220,0.58615994
TEST_00221,0.4176944
TEST_00222,0.10098654
TEST_00223,0.27484608
TEST_00224,0.112810634
TEST_00225,0.3192721
TEST_00226,0.2102891
TEST_00227,0.333792
TEST_00228,0.0022148485
TEST_00229,0.3136177
TEST_00230,0.2905273
TEST_00231,0.3785414
TEST_00232,0.2084732
TEST_00233,0.32457075
TEST_00234,0.38339007
TEST_00235,0.5079653
TEST_00236,0.31620625
TEST_00237,0.0022365192
TEST_00238,0.002201154
TEST_00239,0.4182824
TEST_00240,0.28992867
TEST_00241,0.38018766
TEST_00242,0.30025414
TEST_00243,0.20474058
TEST_00244,0.002006774
TEST_00245,0.5054939
TEST_00246,0.36364102
TEST_00247,0.109581165
TEST_00248,0.37039673
TEST_00249,0.47463956
TEST_00250,0.20677519
TEST_00251,0.002088979
TEST_00252,0.42572233
TEST_00253,0.025884673
TEST_00254,0.36461645
TEST_00255,0.54336524
TEST_00256,0.33744732
TEST_00257,0.36651358
TEST_00258,0.3990571
TEST_00259,0.52985287
TEST_00260,0.0021612945
TEST_00261,0.0020476426
TEST_00262,0.0022251245
TEST_00263,0.49813214
TEST_00264,0.21646845
TEST_00265,0.3275133
TEST_00266,0.17450613
TEST_00267,0.0020597128
TEST_00268,0.20349212
TEST_00269,0.34271264
TEST_00270,0.17565542
TEST_00271,0.0020952655
TEST_00272,0.28753847
TEST_00273,0.24456817
TEST_00274,0.26637098
TEST_00275,0.049331672
TEST_00276,0.0022213336
TEST_00277,0.24916404
TEST_00278,0.36365324
TEST_00279,0.5045704
TEST_00280,0.0021783735
TEST_00281,0.13735771
TEST_00282,0.0028268667
TEST_00283,0.0020819919
TEST_00284,0.38747847
TEST_00285,0.25808415
TEST_00286,0.06498768
TEST_00287,0.50919706
TEST_00288,0.0024743679
TEST_00289,0.3897692
TEST_00290,0.1415274
TEST_00291,0.30643824
TEST_00292,0.42533404
TEST_00293,0.0021639296
TEST_00294,0.52824825
TEST_00295,0.31725445
TEST_00296,0.04717299
TEST_00297,0.0022896805
TEST_00298,0.5263007
TEST_00299,0.33486548
TEST_00300,0.1525446
TEST_00301,0.47521147
TEST_00302,0.28528887
TEST_00303,0.3996278
TEST_00304,0.55059016
TEST_00305,0.47470507
TEST_00306,0.22015098
TEST_00307,0.50711125
TEST_00308,0.4346689
TEST_00309,0.46555427
TEST_00310,0.39766786
TEST_00311,0.45703256
TEST_00312,0.13150664
TEST_00313,0.16008885
TEST_00314,0.4813964
TEST_00315,0.31287542
TEST_00316,0.06689341
TEST_00317,0.10581728
TEST_00318,0.0021022144
TEST_00319,0.002406675
TEST_00320,0.44701564
TEST_00321,0.22335115
TEST_00322,0.17621182
TEST_00323,0.22770213
TEST_00324,0.30959326
