iter	Logloss
0	0.6819313104
1	0.6676315133
2	0.6589114298
3	0.6520024593
4	0.6445340545
5	0.6336218305
6	0.6276533877
7	0.622209118
8	0.615303736
9	0.6093778129
10	0.6038864575
11	0.5954791915
12	0.5919259489
13	0.5882509204
14	0.5840347845
15	0.5780947013
16	0.5751851223
17	0.5722524099
18	0.5694977
19	0.5669625475
20	0.5614311181
21	0.5581003771
22	0.5558940106
23	0.553598637
24	0.5507984328
25	0.5489414381
26	0.5468036712
27	0.5448604875
28	0.5427576243
29	0.541025126
30	0.5394111227
31	0.5379081566
32	0.5363462594
33	0.5343922384
34	0.5328548519
35	0.531556791
36	0.5303223708
37	0.529137911
38	0.528038546
39	0.5269045649
40	0.5257900343
41	0.5247667117
42	0.5232370431
43	0.5219311311
44	0.521016984
45	0.520288417
46	0.5195671257
47	0.5187682216
48	0.5180508512
49	0.5174735488
50	0.5166222511
51	0.5157314773
52	0.5152564584
53	0.5147783188
54	0.5142331704
55	0.5136907089
56	0.5131814212
57	0.5127460102
58	0.5123345841
59	0.5117460062
60	0.5112772573
61	0.5107723951
62	0.5102991768
63	0.5096293681
64	0.5092173225
65	0.5087842458
66	0.5075771047
67	0.5071752451
68	0.5067360192
69	0.5064312192
70	0.5060983485
71	0.5058741186
72	0.5056305475
73	0.5051716493
74	0.5049063042
75	0.5040010842
76	0.5037765012
77	0.5035148634
78	0.5032629421
79	0.5030001455
80	0.5028037821
81	0.5025759363
82	0.5023955591
83	0.5018973192
84	0.5017087613
85	0.501510377
86	0.5013307509
87	0.5011330989
88	0.5009377368
89	0.5008329819
90	0.5007089882
91	0.500500348
92	0.5003759438
93	0.5002809258
94	0.5001537921
95	0.500001945
96	0.4999335603
97	0.4998127291
98	0.4996226798
99	0.4995191806
100	0.4993664551
101	0.49923022
102	0.4989661889
103	0.4987777398
104	0.4986401731
105	0.4984735886
106	0.4983308769
107	0.4982225821
108	0.4981019381
109	0.4979128818
110	0.4978169906
111	0.4976988626
112	0.4976155323
113	0.4975394674
114	0.497484939
115	0.4974089405
116	0.4972690169
117	0.49711341
118	0.4970249558
119	0.4969355555
120	0.4964760056
121	0.4963766652
122	0.4959927299
123	0.4959238917
124	0.4958887758
125	0.4958092653
126	0.4957176839
127	0.4956624133
128	0.4956011558
129	0.4954260417
130	0.4953919849
131	0.4953041455
132	0.4952075213
133	0.4951567275
134	0.4950992337
135	0.494746281
136	0.4946654354
137	0.4946056677
138	0.4945681399
139	0.4945162836
