iter	Passed	Remaining
0	26	258515
1	48	236209
2	71	229729
3	92	224895
4	113	218963
5	134	217185
6	156	216724
7	177	214933
8	197	212677
9	218	211212
10	238	209708
11	259	209196
12	278	207295
13	298	205996
14	320	207046
15	342	206870
16	362	206247
17	385	207098
18	408	208074
19	430	208070
20	452	208469
21	476	209244
22	496	208821
23	519	209325
24	540	209011
25	564	209816
26	587	210377
27	609	210464
28	630	210006
29	653	210327
30	674	210297
31	693	209469
32	715	209347
33	737	209344
34	758	209334
35	782	209899
36	803	209536
37	825	209659
38	848	210106
39	870	210144
40	892	210088
41	912	209712
42	932	209259
43	952	208937
44	974	208994
45	996	209032
46	1016	208475
47	1036	208205
48	1056	207897
49	1076	207642
50	1098	207679
51	1118	207423
52	1139	207233
53	1163	207582
54	1183	207373
55	1206	207615
56	1231	208205
57	1257	208880
58	1282	209431
59	1308	210068
60	1335	210817
61	1359	211177
62	1381	211058
63	1401	210820
64	1420	210435
65	1441	210174
66	1463	210212
67	1483	209889
68	1504	209827
69	1523	209452
70	1546	209512
71	1567	209433
72	1587	209130
73	1605	208713
74	1628	208807
75	1650	208869
76	1672	208782
77	1692	208600
78	1711	208238
79	1732	208164
80	1753	207993
81	1773	207825
82	1796	207940
83	1818	207932
84	1837	207643
85	1859	207710
86	1881	207721
87	1903	207689
88	1926	207874
89	1950	208027
90	1971	208003
91	1995	208210
92	2016	208154
93	2036	207941
94	2054	207542
95	2075	207477
96	2093	207026
97	2112	206810
98	2132	206589
99	2153	206547
100	2175	206549
101	2195	206427
102	2215	206196
103	2235	206097
104	2256	206036
105	2278	206024
106	2298	205871
107	2319	205819
108	2340	205735
109	2361	205647
110	2381	205551
111	2404	205626
112	2426	205675
113	2448	205689
114	2470	205719
115	2490	205594
116	2512	205578
117	2532	205460
118	2556	205616
119	2577	205600
120	2597	205422
121	2620	205541
122	2641	205463
123	2663	205471
124	2682	205252
125	2703	205201
126	2723	205077
127	2743	205006
128	2761	204725
129	2780	204523
130	2801	204419
131	2820	204240
132	2840	204140
133	2861	204080
134	2881	203942
135	2902	203890
136	2922	203784
137	2943	203759
138	2963	203659
139	2986	203736
140	3008	203733
141	3027	203616
142	3049	203613
143	3070	203582
144	3093	203667
145	3112	203485
146	3135	203587
147	3158	203657
148	3178	203568
149	3201	203627
150	3223	203636
151	3244	203616
152	3265	203553
153	3284	203415
154	3304	203317
155	3325	203289
156	3345	203141
157	3365	203079
158	3385	202963
159	3405	202864
160	3425	202757
161	3444	202611
162	3466	202645
163	3487	202569
164	3507	202476
165	3526	202374
166	3547	202328
167	3565	202127
168	3586	202068
169	3604	201886
170	3624	201775
171	3644	201684
172	3665	201681
173	3687	201702
174	3707	201618
175	3728	201590
176	3782	203327
177	3810	203655
178	3831	203607
179	3852	203564
180	3875	203607
181	3896	203555
182	3914	203399
183	3934	203295
184	3954	203179
185	3974	203127
186	3996	203116
187	4015	202992
188	4041	203185
189	4071	203598
190	4095	203716
191	4115	203617
192	4135	203502
193	4155	203422
194	4174	203311
195	4195	203250
196	4214	203129
197	4236	203095
198	4254	202950
199	4274	202833
200	4294	202761
201	4313	202624
202	4333	202557
203	4354	202525
204	4376	202518
205	4398	202511
206	4427	202868
207	4451	202927
208	4470	202810
209	4491	202790
210	4518	203012
211	4547	203339
212	4568	203272
213	4589	203261
214	4609	203176
215	4630	203105
216	4651	203093
217	4671	202982
218	4689	202836
219	4708	202711
220	4728	202623
221	4748	202551
222	4768	202471
223	4787	202344
224	4809	202328
225	4832	202390
226	4855	202413
227	4875	202344
228	4894	202240
229	4913	202101
230	4930	201935
231	4950	201839
232	4968	201684
233	4989	201664
234	5009	201569
235	5030	201548
236	5050	201462
237	5073	201505
238	5093	201442
239	5111	201291
240	5130	201187
241	5153	201226
242	5177	201301
243	5200	201331
244	5223	201401
245	5246	201428
246	5266	201356
247	5286	201304
248	5307	201241
